title,resume,years_of_experience,skills,location,salary_expectation,rating
"Python Developer, 65 000",https://www.work.ua/resumes/10042280/,10,"Доброзичливість, Python, Git, Django, SQL, GitHub, PostgreSQL, MySQL, Docker, SQLite, Flask, Django Rest Framework, REST, Bootstrap, FastAPI, DjangoORM, SQLAlchemy, Pydantic, Alembic, Multiprocessing, Threading, Asyncio, GRPC, HTTP, TCP/IP, Socket, SOLID, Flake8, Black, Isort, Swagger, Collection, Itertools, Jenkins, Jira, Confluence, Agile, Scrum, OOP",Kyiv,грн,5
"Data analyst, Python Developer, DScience ML",https://www.work.ua/resumes/5610712/,10,"Комунікабельність, Здатність до навчання, MS Excel, SQL, NoSQL, Python, Machine learning, Єкономічний аналіз, Розрахунок собівартості, Ведення управлінського обліку, Ведення фінансового обліку, Відповідальність, Управління бюджетами, Контроль виконання бюджету, MS Power BI, Jira, Kanban, Docker, Git, Клієнт-Банк, Користувач 1С, Знання САПР, Цілеспрямованість, Організованість, TensorFlow, Keras, PyTorch, Google Sheets, Scrapy, Beautiful Soup, FastAPI, Django, RabbitMQ, PyTest",Kyiv,Dev,5
Python,https://www.work.ua/resumes/8511413/,10,"Python, Git, Django, SQL, Docker, SQLite, PostgreSQL, Flask, JavaScript, Bootstrap, FastAPI, HTML, CSS",Kyiv,developer,5
"Junior Python Developer, 35 000",https://www.work.ua/resumes/10137912/,10,"Python, HTML, Git, Django, CSS, SQL, Знання принципів ООП, GitHub, PostgreSQL, MySQL, Docker, Bootstrap, OpenAI, Aiogram, NumPy, Pandas, MongoDB, FastAPI, Django Rest Framework",Kyiv,грн,5
Junior Python,https://www.work.ua/resumes/2686412/,10,"MS Office, 1С, Iiko, Python, Знання принципів ООП, Django, SQL, GitHub, PostgreSQL, MySQL, Docker, SQLite, REST, FastAPI, Git, Docker Compose, Alembic, REST API, MongoDB",Kyiv,Developer,5
"Python-програміст, 140 000",https://www.work.ua/resumes/8162209/,10,"Git, Linux, Frameworks, API, Google, Робота в команді, Django, Docker, PostgreSQL, Python, FastAPI, Pandas, ChatGPT API",Kyiv,грн,4
"Python developer, 95 000",https://www.work.ua/resumes/10269926/,10,"Punctuality, Python, CSS, Git, HTML, Django, Knowledge of OOP principles, MySQL, GitHub, SQL, JavaScript, Bootstrap, MS Excel, Docker, C++, REST API, Telegram API, PowerShell, OpenCV, TensorFlow, PyTorch, Keras",Kyiv,грн,4
"Python engineer, 45 000",https://www.work.ua/resumes/5368504/,10,"Python, Django, HTML, CSS, Linux, SQL, PostgreSQL, Flask, Bootstrap, Selenium, SQLAlchemy, Pandas, NumPy, Користувач ПК, Програмування, Scrapy, Тестування, DjangoRestFramework/FlaskRest, Налаштування Telegram-ботів, Aiohttp, Git",Kyiv,грн,4
"Junior Front-end Developer, 30 000",https://www.work.ua/resumes/10014254/,10,"Адаптивність, HTML, CSS, JavaScript, React, Bootstrap, Node.js, JQuery, Python, Django, Git, GitHub, Redux, TypeScript, Webpack, SQL, Adobe Photoshop, Figma",Kyiv,грн,4
,https://www.work.ua/resumes/10107124/,10,"Доброзичливість, Python, HTML, Git, Django, CSS, SQL, Знання принципів ООП, GitHub, PostgreSQL, MySQL, Docker, Django Rest Framework, Flask, REST, MS Excel, Bootstrap, OpenCV",Kyiv,Python-програміст,4
"Python, Django, Flask, Web Developer, 79 991",https://www.work.ua/resumes/4592169/,10,"Python, Django, Linux, PostgreSQL, Flask, Redis, Celery, SQLAlchemy, AWS, Програмування, JQuery, AJAX, HTML, CSS, JavaScript, Git, SQL, GitHub, Bootstrap, Docker, Користувач ОС Linux, MySQL, Знання принципів ООП",Kyiv,грн,4
Python,https://www.work.ua/resumes/10832383/,10,"Здатність до навчання, Python, Git, HTML, Знання принципів ООП, Django, PostgreSQL, Docker, SQLite, Django Rest Framework, SQL, CSS, MySQL, Flask, REST, Bootstrap, JavaScript, GitHub",Kyiv,Developer,4
,https://www.work.ua/resumes/3024787/,10,"Python, HTML, JavaScript, SQL, PHP, C#, Unity, Writing applications for automated trading on the cryptocurrency, Cryptocurrency trading, Raspberry Pi / Raspbian / Ubuntu, Algorithm writing, Information analysis, Parsing Information, PC setup and assembly, Working with REST APIs, Django, GitHub, REST, Git, Комунікабельність, MS Excel, Django Rest Framework, CSS, Знання принципів ООП, MySQL, PostgreSQL, SQLite",Kyiv,Python-розробник,4
Trainee/Junior Python,https://www.work.ua/resumes/8700128/,10,"Python, Django, HTML, CSS, Git, JavaScript, SQL, MySQL, PostgreSQL, Django Rest Framework, OOP, PyCharm",Kyiv,Developer,4
"Junior Python developer (Django, Ajax), 30 000",https://www.work.ua/resumes/8453591/,10,"Адаптивність, HTML, CSS, JavaScript, React, Bootstrap, Node.js, JQuery, Python, Django, Git, GitHub, Redux, TypeScript, Webpack, SQL, Adobe Photoshop, Figma",Kyiv,грн,4
Python,https://www.work.ua/resumes/5272687/,10,"Python, Django, HTML, CSS, Git, JavaScript, Linux, SQL, MySQL, PostgreSQL, Flask, Windows, Bootstrap, SQLite, ООП, Selenium, SQLAlchemy, pandas, Beautiful Soup, NumPy, Пользователь ПК, REST API, Операционные системы, Программирование, Scrapy, REST, API, SVN, Multiprocessing, Threading, SciPy, Windows Server, Администрирование, Работа в команде",Kyiv,developer,4
Python,https://www.work.ua/resumes/10979769/,10,"Python, FastAPI, Django, Django Rest Framework, PostgreSQL, MySQL, Docker, JavaScript, HTML, CSS, Git, NoSQL, MongoDB, Redis, Flask, Aiohttp, SQLAlchemy, GRPC, WebSocket, JQuery, Knowledge of OOP principles, SOLID Principles",Kyiv,developer,4
QA automation engineer,https://www.work.ua/resumes/7896455/,10,"HTML, Jira, SQL, Postman, Scrum, Linux, Git, Java, HTTP, SDLC, Software Development Methodologies, Test documentation, Testing, HTTPS, QA automation, Python, PyTest, AWS, Jenkins, Docker, Golang, Ручне тестування, Ведення документації",Kyiv,(Python),3
"Pipeline, Python-програміст, контент-редактор",https://www.work.ua/resumes/10602881/,10,"Пунктуальність, Django Rest Framework, Celery, Redis, RebbitMQ, Python, PyQt, PyCharm, PySide, Autodesk Maya, AWS S3, Google Docs, Google Sheets, Google Drive, Wasabi, AWS IAM, Налаштування Telegram-ботів, GitHub, CGRU Afanasy, MoCap, Foundry Nuke, SideFx Houdini, Autodesk Flow Production Tracking, Autodesk Shotgrid, Git, Django, Заповнення карток товарів на Prom, Заповнення карток товарів на OLX, Заповнення карток товарів на Rozetka, Знання принципів ООП, MS Excel, Комунікабельність, SQLite, Адміністрування ОС Linux, PostgreSQL, Pandas, HTML, CSS, NumPy",Kyiv,інтернет-магазину,3
"Програміст (Python, Java, SQL), тестувальник-автоматизатор (QA",https://www.work.ua/resumes/10489948/,10,"HTML, CSS, PHP, MySQL, Python, Git, Linux, C++, Selenium, BASH, СУБД, Java, Spring Framework, Hibernate, SQL, PostgreSQL, Тестування, Веб технології, Microservices, Apache Kafka, Spring Boot, Spring Data, REST API, REST, RESTful Web Services, Docker, SAP Hybris, Kibana, Parsing, Scripting, Reporting, QA, QA Automation, Testing, Automation testing, Selenide, Cucumber, Postman, API testing tools, Тестування ПЗ, Автоматизоване тестування, JUnit, Java Core, Apache Maven, Test Design, Unit Testing, REST Assured, E-Commerce, Blockchain",Kyiv,Automation),3
,https://www.work.ua/resumes/10672107/,10,"Пунктуальність, Django Rest Framework, Celery, Redis, RebbitMQ, Python, PyQt, PyCharm, PySide, Autodesk Maya, AWS S3, Google Docs, Google Sheets, Google Drive, Wasabi, AWS IAM, Налаштування Telegram-ботів, GitHub, CGRU Afanasy, MoCap, Foundry Nuke, SideFx Houdini, Autodesk Flow Production Tracking, Autodesk Shotgrid, Git, Django, Заповнення карток товарів на Prom, Заповнення карток товарів на OLX, Заповнення карток товарів на Rozetka, Знання принципів ООП, MS Excel, Комунікабельність, SQLite, Адміністрування ОС Linux, PostgreSQL, Pandas, HTML, CSS, NumPy",Kyiv,Python-програміст,3
"QA Automation Engineer (Java, Python), тестувальник-автоматизатор, Jаva",https://www.work.ua/resumes/10530390/,10,"HTML, CSS, PHP, MySQL, Python, Git, Linux, C++, Selenium, BASH, СУБД, Java, Spring Framework, Hibernate, SQL, PostgreSQL, Тестування, Веб технології, Microservices, Apache Kafka, Spring Boot, Spring Data, REST API, REST, RESTful Web Services, Docker, SAP Hybris, Kibana, Parsing, Scripting, Reporting, QA, QA Automation, Testing, Automation testing, Selenide, Cucumber, Postman, API testing tools, Тестування ПЗ, Автоматизоване тестування, JUnit, Java Core, Apache Maven, Test Design, Unit Testing, REST Assured, E-Commerce, Blockchain",Kyiv,Developer,3
"Python, Django",https://www.work.ua/resumes/10510820/,10,"Python, Django, Django Rest Framework, JavaScript, Backend-розробка, Frontend-розробка, Адміністрування CRM, Користувач Terrasoft CRM, GLPI, Адміністрування Linux Server, Proxmox VE, Hyper-V, JQuery, Vue CLI, Nuxt.js, SQL, BASH, PostgreSQL, MariaDB, MySQL, Memcached, Jira, GitLab, CI/CD, Camunda",Kyiv,Developer,3
"Junior Python Developer, 35 000",https://www.work.ua/resumes/8893985/,10,"Вміння розбиратися в принципи роботи схеми, Навички адміністрування Linux, Python, Docker, GitHub, JavaScript, Git, Уважність, Знання принципів ООП",Kyiv,грн,2
,https://www.work.ua/resumes/10280376/,10,"Пунктуальність, Python, HTML, Git, CSS, GitHub, MS Excel, VBA, MongoDB, Python Requests, Tkinter, Selenium, Perl, Horoshop, XPath, RegExp, Regular expressions, Pandas, Beautiful Soup, Multiprocessing",Kyiv,Python-програміст,2
Junior Python,https://www.work.ua/resumes/10989240/,10,"Організованість, Python, SQL",Kyiv,developer,2
,https://www.work.ua/resumes/10803555/,10,"Креативність, Розробка маркетингової стратегії, Digital-маркетинг, Уміння аналізувати, Тактичний маркетинг, Знання податкового законодавства, SWOT-аналіз, Python, C++, Scrum, Agile, Kanban, Знання стандартів ISO 9001, Знання алгоритм Люцифера, Криптографія, Виправлення кодів, AutoCAD, CATIAv5",Kyiv,Python-програміст,1
Head of,https://www.work.ua/resumes/10789097/,10,"Креативність, Розробка маркетингової стратегії, Digital-маркетинг, Уміння аналізувати, Тактичний маркетинг, Знання податкового законодавства, SWOT-аналіз, Python, C++, Scrum, Agile, Kanban, Знання стандартів ISO 9001, Знання алгоритм Люцифера, Криптографія, Виправлення кодів, AutoCAD, CATIAv5",Kyiv,marketing,1
Керівник відділу,https://www.work.ua/resumes/10648363/,10,"Креативність, Розробка маркетингової стратегії, Digital-маркетинг, Уміння аналізувати, Тактичний маркетинг, Знання податкового законодавства, SWOT-аналіз, Python, C++, Scrum, Agile, Kanban, Знання стандартів ISO 9001, Знання алгоритм Люцифера, Криптографія, Виправлення кодів, AutoCAD, CATIAv5",Kyiv,продажу,1
,https://www.work.ua/resumes/10800879/,10,"Креативність, Розробка маркетингової стратегії, Digital-маркетинг, Уміння аналізувати, Тактичний маркетинг, Знання податкового законодавства, SWOT-аналіз, Python, C++, Scrum, Agile, Kanban, Знання стандартів ISO 9001, Знання алгоритм Люцифера, Криптографія, Виправлення кодів, AutoCAD, CATIAv5",Kyiv,Юрист-міжнародник,1
,https://www.work.ua/resumes/10839434/,10,"Креативність, Розробка маркетингової стратегії, Digital-маркетинг, Уміння аналізувати, Тактичний маркетинг, Знання податкового законодавства, SWOT-аналіз, Python, C++, Scrum, Agile, Kanban, Знання стандартів ISO 9001, Знання алгоритм Люцифера, Криптографія, Виправлення кодів, AutoCAD, CATIAv5",Kyiv,Медіабаєр,1
"Python-програміст, 5 000",https://www.work.ua/resumes/6937650/,10,"Python, pandas, Adobe Photoshop, NumPy, Matplotlib, Програмування, SciPy, Adobe, Графічний дизайн, Дизайн, Моделювання, Аналіз часових рядів",Kyiv,грн,1
"Економіст, розробник прикладних програм на",https://www.work.ua/resumes/1192264/,10,"1С, MS Office, Windows, MySQL, DAX, Python, M.E.Doc, Data science, Machine learning",Kyiv,Python,1
"Фінансовий аналітик, 5 000",https://www.work.ua/resumes/9163476/,10,"Python, pandas, Adobe Photoshop, NumPy, Matplotlib, Програмування, SciPy, Adobe, Графічний дизайн, Дизайн, Моделювання, Аналіз часових рядів",Kyiv,грн,1
Trainee Python developer,https://robota.ua/candidates/23721216,10,,Київ,,0
Front-End Developer,https://robota.ua/candidates/15736303,10,,Київ,,0
Python Developer,https://robota.ua/candidates/23339171,10,,Київ,,0
Python-розробник,https://robota.ua/candidates/23338073,10,,Київ,,0
Python,https://www.work.ua/resumes/10947727/,10,Відповідальність,Kyiv,developer,0
Python Developer,https://robota.ua/candidates/23037775,10,,Київ,,0
Python розробник,https://robota.ua/candidates/22351635,10,,Київ,,0
Junior Python Developer,https://robota.ua/candidates/17983673,10,,Київ,,0
Python Developer,https://robota.ua/candidates/23676942,10,,Київ,,0
Python Developer,https://robota.ua/candidates/23622972,10,,Київ,,0
Junior Python Developer,https://robota.ua/candidates/21441887,10,,Київ,,0
Junior Python Developer,https://robota.ua/candidates/22147466,10,,Київ,,0
Python Developer,https://robota.ua/candidates/16409856,10,,Київ,,0
"3d artist, Trainee/Junior Python Developer",https://robota.ua/candidates/23666478,10,,Київ,,0
Junior Python Developer,https://robota.ua/candidates/23774118,10,,Київ,,0
Trainee/Junior Python developer,https://robota.ua/candidates/23189397,10,,Київ,,0
Python Developer,https://robota.ua/candidates/15283460,10,,Київ,,0
"It - спеціаліст, python developer",https://robota.ua/candidates/22157278,10,,Київ,,0
"Software Engineer (Node.js, TypeScript, JavaScript, Python, PHP)",https://robota.ua/candidates/23503823,10,,Київ,,0
"Web Developer, Team leader, Junior Python",https://www.work.ua/resumes/2805305/,10,,Kyiv,Developer,0
Python Developer,https://robota.ua/candidates/11601636,10,,Київ,,0
Junior Python Developer,https://robota.ua/candidates/23484059,10,,Київ,,0
Data,https://www.work.ua/resumes/10794353/,10,,Kyiv,Engineer,0
"Менеджер проєктів,",https://www.work.ua/resumes/10904755/,10,,Kyiv,ЗЕД,0
,https://www.work.ua/resumes/10466720/,10,,Kyiv,Python-программист,0
Python,https://www.work.ua/resumes/9393953/,10,,Kyiv,developer,0
,https://www.work.ua/resumes/10706068/,10,,Kyiv,Python-програміст,0
"Інженер-конструктор, UX/UI Designer, Front End, QA, SMM, Python developer, 20 000",https://www.work.ua/resumes/8606176/,10,"MS Office, SolidWorks, КОМПАС-3D, Skype, PDF, Моделирование, Чертежи деталей машин, нестандартного оборудования, Металлоконструкции: чертежи, стыковки, развертки и др., Разработка тех.документации на мех. обработку, режимы резания, Штампы, прессформы, литформы, Оснастка и приспособления, Создание 3D моделей, Рассчет дифферинциалов для нарезки зубчатых передач, Користувач 1С",Kyiv,грн,0
